ano;codigo_municipio;municipio;uf;ibc;cobertura_pop_4g5g;densidade_smp;hhi_smp;densidade_scm;hhi_scm;adensamento_estacoes;fibra;cobertura_area_agricultavel
2024;1100015;Alta Floresta D'Oeste - RO;RO;29.45;64.9073;48.18;44.0;10.26;73.0;13.13;0.0;8.9309
2024;1100023;Ariquemes - RO;RO;55.8;86.0454;60.08;51.0;39.64;78.0;13.36;100.0;12.1568
2024;1100031;Cabixi - RO;RO;26.58;48.2041;44.78;35.0;38.97;10.0;17.57;0.0;13.3981
2024;1100049;Cacoal - RO;RO;59.87;82.1237;63.77;56.0;60.32;78.0;13.83;100.0;18.463
2024;1100056;Cerejeiras - RO;RO;45.08;88.5058;68.41;49.0;25.83;48.0;14.73;50.0;9.6841
2024;1100064;Colorado do Oeste - RO;RO;44.16;77.9925;63.0;47.0;35.57;9.0;21.1;50.0;26.0194
2024;1100072;Corumbiara - RO;RO;27.97;41.2584;31.19;20.0;24.84;12.0;18.75;50.0;7.1478
2024;1100080;Costa Marques - RO;RO;39.07;50.469;30.91;15.0;32.85;48.0;11.09;100.0;3.2136
2024;1100098;Espigão D'Oeste - RO;RO;38.52;69.2108;42.37;37.0;19.42;77.0;7.64;50.0;15.5843
2024;1100106;Guajará-Mirim - RO;RO;52.61;84.2141;51.06;66.0;37.79;65.0;12.63;100.0;1.3391
2024;1100114;Jaru - RO;RO;53.33;76.3528;61.62;38.0;44.02;56.0;11.69;100.0;18.0643
2024;1100122;Ji-Paraná - RO;RO;56.49;91.8888;60.51;42.0;29.15;71.0;21.53;100.0;21.4797
2024;1100130;Machadinho D'Oeste - RO;RO;44.06;50.012;49.77;34.0;32.99;42.0;17.61;100.0;6.7753
2024;1100148;Nova Brasilândia D'Oeste - RO;RO;43.76;52.2389;53.45;52.0;10.88;39.0;15.15;100.0;15.5648
2024;1100155;Ouro Preto do Oeste - RO;RO;52.44;79.8993;64.15;36.0;25.97;49.0;20.68;100.0;20.0824
2024;1100189;Pimenta Bueno - RO;RO;54.74;87.2464;61.91;61.0;36.69;54.0;15.36;100.0;9.2731
2024;1100205;Porto Velho - RO;RO;61.89;91.554;66.75;58.0;65.83;71.0;24.37;100.0;6.1109
2024;1100254;Presidente Médici - RO;RO;47.01;61.1374;57.09;61.0;16.1;24.0;12.18;100.0;26.5569
2024;1100262;Rio Crespo - RO;RO;38.25;42.2257;54.11;17.0;3.13;66.0;53.29;50.0;19.9966
2024;1100288;Rolim de Moura - RO;RO;57.66;85.3397;54.63;62.0;48.2;65.0;15.98;100.0;22.9607
2024;1100296;Santa Luzia D'Oeste - RO;RO;49.92;62.9831;44.0;51.0;23.87;47.0;25.39;100.0;33.5412
2024;1100304;Vilhena - RO;RO;59.57;95.0717;64.53;63.0;49.69;78.0;13.82;100.0;7.5444
2024;1100320;São Miguel do Guaporé - RO;RO;46.53;48.7051;53.04;43.0;35.77;62.0;11.23;100.0;11.3303
2024;1100338;Nova Mamoré - RO;RO;41.6;43.0269;32.66;51.0;26.72;82.0;7.02;100.0;2.3226
2024;1100346;Alvorada D'Oeste - RO;RO;50.48;59.161;46.95;61.0;46.25;41.0;14.45;100.0;23.7748
2024;1100379;Alto Alegre dos Parecis - RO;RO;20.76;41.9876;35.18;15.0;15.74;55.0;8.15;0.0;7.8132
2024;1100403;Alto Paraíso - RO;RO;44.32;50.1362;48.27;49.0;16.41;71.0;14.32;100.0;7.2426
2024;1100452;Buritis - RO;RO;53.99;71.1081;69.2;36.0;46.08;66.0;14.64;100.0;11.3245
2024;1100502;Novo Horizonte do Oeste - RO;RO;35.85;26.0962;32.38;17.0;63.15;47.0;18.62;50.0;25.9433
